trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1608,False,"{'a': 0.7, 'e': 0.024937733402690822}",25,8,29.837508941726327,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1609,False,"{'a': 0.7, 'e': 0.024929982747211407}",25,16,16.89832294663817,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1610,False,"{'a': 0.7, 'e': 0.024922239313961342}",20,13,12.389310969602514,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1611,False,"{'a': 0.7, 'e': 0.024914503091731197}",30,13,35.12338771764628,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1612,False,"{'a': 0.7, 'e': 0.024906774069335894}",20,9,24.39062515530103,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1613,False,"{'a': 0.7, 'e': 0.024899052235614633}",25,20,9.860580996409025,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1614,False,"{'a': 0.7, 'e': 0.024891337579430815}",20,14,11.868323659621243,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1615,False,"{'a': 0.7, 'e': 0.024883630089671975}",20,12,14.877583218445297,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1616,False,"{'a': 0.7, 'e': 0.02487592975524973}",20,12,17.004894118250213,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1617,False,"{'a': 0.7, 'e': 0.02486823656509969}",20,9,21.338255958079657,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1618,False,"{'a': 0.7, 'e': 0.02486055050818142}",25,12,24.482499237881598,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1619,False,"{'a': 0.7, 'e': 0.02485287157347833}",20,8,23.63487114682234,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1620,False,"{'a': 0.7, 'e': 0.024845199749997663}",20,12,16.286705357281036,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1621,False,"{'a': 0.7, 'e': 0.024837535026770382}",30,15,22.817681246911047,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
1622,False,"{'a': 0.7, 'e': 0.024829877392851134}",25,17,16.253289192890357,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1623,False,"{'a': 0.7, 'e': 0.02482222683731816}",25,13,20.71815292343939,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1624,False,"{'a': 0.7, 'e': 0.024814583349273254}",20,9,17.99202782341455,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1625,False,"{'a': 0.7, 'e': 0.02480694691784169}",20,11,15.544589370179011,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1626,False,"{'a': 0.7, 'e': 0.02479931753217214}",20,10,19.83708603032646,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1627,False,"{'a': 0.7, 'e': 0.024791695181436636}",25,13,22.24476777708715,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1628,False,"{'a': 0.7, 'e': 0.02478407985483048}",25,13,25.093147811349837,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1629,False,"{'a': 0.7, 'e': 0.024776471541572212}",25,11,27.584986548542723,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1630,False,"{'a': 0.7, 'e': 0.024768870230903496}",20,8,23.348271399303265,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1631,False,"{'a': 0.7, 'e': 0.024761275912089115}",20,5,18.229065251469745,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1632,False,"{'a': 0.7, 'e': 0.02475368857441686}",25,19,11.204874517502665,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1633,False,"{'a': 0.7, 'e': 0.02474610820719749}",25,8,31.09698257236439,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1634,False,"{'a': 0.7, 'e': 0.02473853479976467}",25,16,15.979616768676106,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1635,False,"{'a': 0.7, 'e': 0.024730968341474896}",30,13,33.36869811745655,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1636,False,"{'a': 0.7, 'e': 0.024723408821707437}",30,0,47.14499556775923,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
1637,False,"{'a': 0.7, 'e': 0.024715856229864275}",30,18,21.12615095463454,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1638,False,"{'a': 0.7, 'e': 0.024708310555370042}",25,8,22.59473382615724,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1639,False,"{'a': 0.7, 'e': 0.024700771787671945}",20,6,25.13398880267893,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1640,False,"{'a': 0.7, 'e': 0.02469323991623974}",20,13,10.958256079862018,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1641,False,"{'a': 0.7, 'e': 0.024685714930565622}",25,13,20.308523849503533,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1642,False,"{'a': 0.7, 'e': 0.0246781968201642}",20,9,26.479807653960464,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1643,False,"{'a': 0.7, 'e': 0.02467068557457242}",25,16,19.55976810885769,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1644,False,"{'a': 0.7, 'e': 0.0246631811833495}",25,8,33.51253004569114,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1645,False,"{'a': 0.7, 'e': 0.024655683636076897}",30,16,17.550467215500998,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1646,False,"{'a': 0.7, 'e': 0.024648192922358196}",20,14,11.174250125907841,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1647,False,"{'a': 0.7, 'e': 0.024640709031819093}",30,21,-4.616943227590793,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
1648,False,"{'a': 0.7, 'e': 0.02463323195410733}",30,20,18.068045674074337,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1649,False,"{'a': 0.7, 'e': 0.024625761678892605}",20,0,34.10837476288778,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1650,False,"{'a': 0.7, 'e': 0.024618298195866545}",25,15,20.242654541730026,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1651,False,"{'a': 0.7, 'e': 0.024610841494742634}",20,10,16.984904022221652,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1652,False,"{'a': 0.7, 'e': 0.024603391565256146}",20,14,9.137922875887426,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1653,False,"{'a': 0.7, 'e': 0.02459594839716409}",20,15,9.754549802400744,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1654,False,"{'a': 0.7, 'e': 0.02458851198024517}",20,4,29.849455964230557,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1655,False,"{'a': 0.7, 'e': 0.02458108230429969}",20,9,16.927251581911616,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1656,False,"{'a': 0.7, 'e': 0.024573659359149524}",25,3,39.489740928201556,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1657,False,"{'a': 0.7, 'e': 0.024566243134638045}",30,18,23.925645220577316,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1658,False,"{'a': 0.7, 'e': 0.024558833620630074}",20,14,9.268104104740425,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1659,False,"{'a': 0.7, 'e': 0.024551430807011814}",20,6,25.626263589545133,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1660,False,"{'a': 0.7, 'e': 0.0245440346836908}",20,12,15.829590650891436,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1661,False,"{'a': 0.7, 'e': 0.024536645240595824}",20,13,12.68252516547504,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1662,False,"{'a': 0.7, 'e': 0.024529262467676904}",20,12,16.759756569839414,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1663,False,"{'a': 0.7, 'e': 0.024521886354905213}",30,8,37.320518287465866,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1664,False,"{'a': 0.7, 'e': 0.024514516892273006}",25,6,30.98653038084617,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1665,False,"{'a': 0.7, 'e': 0.02450715406979359}",30,0,46.06386294566246,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
1666,False,"{'a': 0.7, 'e': 0.024499797877501263}",20,11,19.50566198697707,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1667,False,"{'a': 0.7, 'e': 0.02449244830545123}",20,8,22.888133681315,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1668,False,"{'a': 0.7, 'e': 0.024485105343719588}",30,4,-2.9786112510516762,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 1}",1
1669,False,"{'a': 0.7, 'e': 0.024477768982403232}",25,10,27.750708073342246,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1670,False,"{'a': 0.7, 'e': 0.024470439211619822}",30,10,34.06644419023496,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1671,False,"{'a': 0.7, 'e': 0.024463116021507716}",30,16,23.137328775057448,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1672,False,"{'a': 0.7, 'e': 0.024455799402225926}",20,16,8.892211088217081,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1673,False,"{'a': 0.7, 'e': 0.024448489343954046}",25,3,36.758733306309786,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1674,False,"{'a': 0.7, 'e': 0.024441185836892216}",25,8,28.716326785811507,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1675,False,"{'a': 0.7, 'e': 0.024433888871261047}",20,13,13.0011458406315,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1676,False,"{'a': 0.7, 'e': 0.024426598437301574}",30,20,16.864583307668433,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1677,False,"{'a': 0.7, 'e': 0.024419314525275217}",20,8,21.586823671076054,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1678,False,"{'a': 0.7, 'e': 0.0244120371254637}",20,12,16.67167913897617,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1679,False,"{'a': 0.7, 'e': 0.024404766228169002}",25,1,20.803007211841134,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
1680,False,"{'a': 0.7, 'e': 0.024397501823713332}",25,17,15.567715282089221,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1681,False,"{'a': 0.7, 'e': 0.024390243902439025}",35,14,-16.90974239146496,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
1682,False,"{'a': 0.7, 'e': 0.024382992454708537}",20,12,14.602778614538783,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1683,False,"{'a': 0.7, 'e': 0.024375747470904357}",25,15,18.46869266828639,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1684,False,"{'a': 0.7, 'e': 0.024368508941428967}",25,3,39.71377091606517,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1685,False,"{'a': 0.7, 'e': 0.024361276856704795}",25,8,26.066697722470472,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1686,False,"{'a': 0.7, 'e': 0.024354051207174154}",20,8,21.799671436228078,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1687,False,"{'a': 0.7, 'e': 0.02434683198329917}",20,3,22.15683973146721,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1688,False,"{'a': 0.7, 'e': 0.024339619175561773}",20,12,16.129717453393738,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
