trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
78,False,"{'a': 0.5, 'e': 0.01282051282051282}",25,0,33.56375376846968,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.012658227848101266}",20,2,20.2508052173011,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.0125}",20,0,10.85828062537218,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.012345679012345678}",20,0,-15.220322338765211,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.012195121951219513}",20,0,26.391363830425476,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.012048192771084338}",20,8,14.635519695936383,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.011904761904761904}",20,9,22.654667616357962,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.011764705882352941}",35,8,43.62777665886646,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.011627906976744186}",20,0,24.390840086145133,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.011494252873563218}",20,0,-14.661275335945302,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.011363636363636364}",20,0,-17.767959978090545,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.011235955056179775}",25,0,39.54938478547485,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.011111111111111112}",25,0,36.85316874240802,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.01098901098901099}",20,8,19.15256491288229,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.010869565217391304}",20,6,8.250351030323536,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.010752688172043012}",25,6,29.751009185738987,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.010638297872340425}",25,0,23.73049847834549,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.010526315789473684}",20,0,33.11399195918283,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.010416666666666666}",30,0,13.316168906298465,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.010309278350515464}",20,0,25.614625878322478,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.01020408163265306}",20,0,23.27637975716614,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.010101010101010102}",20,13,11.006845747814298,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.01}",25,0,25.608379212307547,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.009900990099009901}",25,0,-43.310855371579564,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,12,-10.395076893937922,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,11,5.6168821085594525,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,6,33.279559636903855,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,12,4.322994886133004,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,18,24.743495265178264,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,36.534803373348275,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",35,23,24.891638189792147,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,34.59710011627377,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,11,17.830533198391066,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,32.58332958297058,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,True,"{'a': 0, 'e': 0}",20,0,32.830594445793444,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0, 'e': 0}",25,1,44.56698802540174,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,7,31.529711290840158,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,11,11.532710884873584,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",25,0,35.75801445129515,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,True,"{'a': 0, 'e': 0}",20,0,-13.937057899505447,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,True,"{'a': 0, 'e': 0}",30,0,39.02122205952202,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,True,"{'a': 0, 'e': 0}",25,0,33.33135038103813,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,True,"{'a': 0, 'e': 0}",30,3,31.16873880451206,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,3,16.95666090416037,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
